CO2Mean,GMean,H2OMean,O2Mean,Points_0,Points_1,Points_2,TMean,UMean_0,UMean_1,UMean_2,rhoMean
0.000246037,77030,0.000201428,0.232631,0.475,0.10878,0.1,347.543,-0.156262,0.0129702,0.275967,1.0119
0.000246561,77039.4,0.000201857,0.232631,0.475,0.10976,0.1,347.605,-0.155367,0.012559,0.276606,1.01172
0.000247085,77048.7,0.000202286,0.23263,0.475,0.11074,0.1,347.667,-0.154471,0.0121477,0.277244,1.01154
0.000247609,77058,0.000202715,0.232629,0.475,0.11172,0.1,347.73,-0.153576,0.0117364,0.277883,1.01136
0.000248133,77067.3,0.000203144,0.232628,0.475,0.1127,0.1,347.792,-0.152681,0.0113252,0.278522,1.01118
0.000248657,77076.6,0.000203573,0.232627,0.475,0.11368,0.1,347.854,-0.151785,0.0109139,0.279161,1.011
0.000249181,77085.9,0.000204002,0.232627,0.475,0.11466,0.1,347.917,-0.15089,0.0105026,0.2798,1.01082
0.000249705,77095.2,0.000204431,0.232626,0.475,0.11564,0.1,347.979,-0.149994,0.0100914,0.280439,1.01064
0.000250229,77104.6,0.00020486,0.232625,0.475,0.11662,0.1,348.042,-0.149099,0.00968012,0.281077,1.01046
0.000250753,77113.9,0.000205289,0.232624,0.475,0.1176,0.1,348.104,-0.148204,0.00926886,0.281716,1.01028
0.000251193,77116.8,0.00020565,0.232624,0.475,0.11858,0.1,348.16,-0.147158,0.00896895,0.282302,1.01012
0.000251904,77135.9,0.000206232,0.232622,0.475,0.11956,0.1,348.246,-0.146517,0.00886935,0.282657,1.00987
0.000252852,77169.6,0.000207008,0.232621,0.475,0.12054,0.1,348.354,-0.146172,0.00889441,0.282845,1.00956
0.0002538,77203.4,0.000207784,0.23262,0.475,0.12152,0.1,348.463,-0.145828,0.00891946,0.283032,1.00925
0.000254748,77237.2,0.00020856,0.232618,0.475,0.1225,0.1,348.572,-0.145483,0.00894452,0.28322,1.00895
0.000255697,77271,0.000209337,0.232617,0.475,0.12348,0.1,348.68,-0.145139,0.00896957,0.283407,1.00864
0.000256645,77304.7,0.000210113,0.232615,0.475,0.12446,0.1,348.789,-0.144794,0.00899463,0.283595,1.00833
0.000257593,77338.5,0.000210889,0.232614,0.475,0.12544,0.1,348.897,-0.144449,0.00901969,0.283782,1.00802
0.000258541,77372.3,0.000211665,0.232612,0.475,0.12642,0.1,349.006,-0.144105,0.00904474,0.283969,1.00772
0.000259489,77406.1,0.000212442,0.232611,0.475,0.1274,0.1,349.115,-0.14376,0.0090698,0.284157,1.00741
0.000260438,77439.8,0.000213218,0.232609,0.475,0.12838,0.1,349.223,-0.143416,0.00909485,0.284344,1.0071
0.000261386,77473.6,0.000213994,0.232608,0.475,0.12936,0.1,349.332,-0.143071,0.00911991,0.284532,1.0068
0.000262334,77507.4,0.00021477,0.232606,0.475,0.13034,0.1,349.44,-0.142727,0.00914497,0.284719,1.00649
0.000263282,77541.2,0.000215547,0.232605,0.475,0.13132,0.1,349.549,-0.142382,0.00917002,0.284907,1.00618
0.00026423,77574.9,0.000216323,0.232603,0.475,0.1323,0.1,349.658,-0.142037,0.00919508,0.285094,1.00587
0.000265179,77608.7,0.000217099,0.232602,0.475,0.13328,0.1,349.766,-0.141693,0.00922013,0.285282,1.00557
0.000266127,77642.5,0.000217876,0.232601,0.475,0.13426,0.1,349.875,-0.141348,0.00924519,0.285469,1.00526
0.000267075,77676.2,0.000218652,0.232599,0.475,0.13524,0.1,349.983,-0.141004,0.00927025,0.285657,1.00495
0.000268023,77710,0.000219428,0.232598,0.475,0.13622,0.1,350.092,-0.140659,0.0092953,0.285844,1.00464
0.000268971,77743.8,0.000220204,0.232596,0.475,0.1372,0.1,350.201,-0.140315,0.00932036,0.286032,1.00434
0.000269919,77777.6,0.000220981,0.232595,0.475,0.13818,0.1,350.309,-0.13997,0.00934541,0.286219,1.00403
